№;Линк категории поставщика;channel;prefix;coef;threshold;Номер_групи;Назва_групи;Ідентифікатор_підрозділу;Посилання_підрозділу;Особисті_нотатки;Ярлик;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
865;"https://viatec.ua/catalog/sadovii-instrument/0:0;obrizka:plosh-niz";site;;0,85;1,2;152195979;Садове приладдя;1250312;https://prom.ua/ua/Sadovye-nozhnitsy;V;;Тип устройства;;Площинний секатор
866;"https://viatec.ua/catalog/sadovii-instrument/0:0;obrizka:plosh-niz";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;1250312;https://prom.ua/ua/Sadovye-nozhnitsy;V, Vmin, noindex;;Тип устройства;;Площинний секатор
867;"https://viatec.ua/catalog/sadovii-instrument/0:0;obrizka:sad-sekator";site;;0,85;1,2;152195979;Садове приладдя;1250312;https://prom.ua/ua/Sadovye-nozhnitsy;V;;Тип устройства;;Садовий секатор
868;"https://viatec.ua/catalog/sadovii-instrument/0:0;obrizka:sad-sekator";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;1250312;https://prom.ua/ua/Sadovye-nozhnitsy;V, Vmin, noindex;;Тип устройства;;Садовий секатор
869;"https://viatec.ua/catalog/sadovii-instrument/0:0;obrizka:kontakt-sekator";site;;0,85;1,2;152195979;Садове приладдя;1250312;https://prom.ua/ua/Sadovye-nozhnitsy;V;;Тип устройства;;Контактний секатор
870;"https://viatec.ua/catalog/sadovii-instrument/0:0;obrizka:kontakt-sekator";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;1250312;https://prom.ua/ua/Sadovye-nozhnitsy;V, Vmin, noindex;;Тип устройства;;Контактний секатор
871;"https://viatec.ua/catalog/sadovii-instrument/0:0;obrizka:plosh-suchkorz";site;;0,85;1,2;152195979;Садове приладдя;1250312;https://prom.ua/ua/Sadovye-nozhnitsy;V;;Тип устройства;;Площинний сучкоріз
872;"https://viatec.ua/catalog/sadovii-instrument/0:0;obrizka:plosh-suchkorz";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;1250312;https://prom.ua/ua/Sadovye-nozhnitsy;V, Vmin, noindex;;Тип устройства;;Площинний сучкоріз
873;"https://viatec.ua/catalog/sadovii-instrument/0:0;obrizka:nozhici-zhivoriz";site;;0,85;1,2;152195979;Садове приладдя;1250312;https://prom.ua/ua/Sadovye-nozhnitsy;V;;Тип устройства;;Ножиці для живої огорожі
874;"https://viatec.ua/catalog/sadovii-instrument/0:0;obrizka:nozhici-zhivoriz";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;1250312;https://prom.ua/ua/Sadovye-nozhnitsy;V, Vmin, noindex;;Тип устройства;;Ножиці для живої огорожі
875;"https://viatec.ua/catalog/sadovii-instrument/0:0;obrizka:nozhici-bgtofunk";site;;0,85;1,2;152195979;Садове приладдя;1250312;https://prom.ua/ua/Sadovye-nozhnitsy;V;;Тип устройства;;Ножиці багатофункціональні
876;"https://viatec.ua/catalog/sadovii-instrument/0:0;obrizka:nozhici-bgtofunk";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;1250312;https://prom.ua/ua/Sadovye-nozhnitsy;V, Vmin, noindex;;Тип устройства;;Ножиці багатофункціональні
877;"https://viatec.ua/catalog/sadovii-instrument/0:0;lopati-vila:shtik-krug";site;;0,85;1,2;152195979;Садове приладдя;14201602;https://prom.ua/ua/Lopaty;V;;Тип устройства;;Лопата штикова закруглена
878;"https://viatec.ua/catalog/sadovii-instrument/0:0;lopati-vila:shtik-krug";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14201602;https://prom.ua/ua/Lopaty;V, Vmin, noindex;;Тип устройства;;Лопата штикова закруглена
879;"https://viatec.ua/catalog/sadovii-instrument/0:0;lopati-vila:shtik-priama";site;;0,85;1,2;152195979;Садове приладдя;14201602;https://prom.ua/ua/Lopaty;V;;Тип устройства;;Лопата штикова пряма
880;"https://viatec.ua/catalog/sadovii-instrument/0:0;lopati-vila:shtik-priama";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14201602;https://prom.ua/ua/Lopaty;V, Vmin, noindex;;Тип устройства;;Лопата штикова пряма
881;"https://viatec.ua/catalog/sadovii-instrument/0:0;lopati-vila:shtik-dovg";site;;0,85;1,2;152195979;Садове приладдя;14201602;https://prom.ua/ua/Lopaty;V;;Тип устройства;;Лопата штикова подовжена
882;"https://viatec.ua/catalog/sadovii-instrument/0:0;lopati-vila:shtik-dovg";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14201602;https://prom.ua/ua/Lopaty;V, Vmin, noindex;;Тип устройства;;Лопата штикова подовжена
883;"https://viatec.ua/catalog/sadovii-instrument/0:0;lopati-vila:sovkova";site;;0,85;1,2;152195979;Садове приладдя;14201602;https://prom.ua/ua/Lopaty;V;;Тип устройства;;Лопата совкова
884;"https://viatec.ua/catalog/sadovii-instrument/0:0;lopati-vila:sovkova";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14201602;https://prom.ua/ua/Lopaty;V, Vmin, noindex;;Тип устройства;;Лопата совкова
885;"https://viatec.ua/catalog/sadovii-instrument/0:0;lopati-vila:drenazhna";site;;0,85;1,2;152195979;Садове приладдя;14201602;https://prom.ua/ua/Lopaty;V;;Тип устройства;;Дренажна лопата (саджанці)
886;"https://viatec.ua/catalog/sadovii-instrument/0:0;lopati-vila:drenazhna";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14201602;https://prom.ua/ua/Lopaty;V, Vmin, noindex;;Тип устройства;;Дренажна лопата (саджанці)
887;"https://viatec.ua/catalog/sadovii-instrument/0:0;lopati-vila:korotka";site;;0,85;1,2;152195979;Садове приладдя;14201602;https://prom.ua/ua/Lopaty;V;;Тип устройства;;Лопата коротка
888;"https://viatec.ua/catalog/sadovii-instrument/0:0;lopati-vila:korotka";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14201602;https://prom.ua/ua/Lopaty;V, Vmin, noindex;;Тип устройства;;Лопата коротка
889;"https://viatec.ua/catalog/sadovii-instrument/0:0;lopati-vila:vila-sadovi";site;;0,85;1,2;152195979;Садове приладдя;1250303;https://prom.ua/ua/Vily;V;;Тип устройства;;Вила садові
890;"https://viatec.ua/catalog/sadovii-instrument/0:0;lopati-vila:vila-sadovi";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;1250303;https://prom.ua/ua/Vily;V, Vmin, noindex;;Тип устройства;;Вила садові
891;"https://viatec.ua/catalog/sadovii-instrument/0:0;lopati-vila:vila-kompost";site;;0,85;1,2;152195979;Садове приладдя;1250303;https://prom.ua/ua/Vily;V;;Тип устройства;;Вила для компосту
892;"https://viatec.ua/catalog/sadovii-instrument/0:0;lopati-vila:vila-kompost";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;1250303;https://prom.ua/ua/Vily;V, Vmin, noindex;;Тип устройства;;Вила для компосту
893;"https://viatec.ua/catalog/sadovii-instrument/0:0;grabli-sapki:sapka";site;;0,85;1,2;152195979;Садове приладдя;1250307;https://prom.ua/ua/Motygi-tyapki;V;;Тип устройства;;Сапка
894;"https://viatec.ua/catalog/sadovii-instrument/0:0;grabli-sapki:sapka";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;1250307;https://prom.ua/ua/Motygi-tyapki;V, Vmin, noindex;;Тип устройства;;Сапка
895;"https://viatec.ua/catalog/sadovii-instrument/0:0;grabli-sapki:vidalnik-brianiv";site;;0,85;1,2;152195979;Садове приладдя;1250307;https://prom.ua/ua/Motygi-tyapki;V;;Тип устройства;;Видальник бур'янів
896;"https://viatec.ua/catalog/sadovii-instrument/0:0;grabli-sapki:vidalnik-brianiv";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;1250307;https://prom.ua/ua/Motygi-tyapki;V, Vmin, noindex;;Тип устройства;;Видальник бур'янів
897;"https://viatec.ua/catalog/sadovii-instrument/0:0;grabli-sapki:kultivator";site;;0,85;1,2;152195979;Садове приладдя;7081201;https://prom.ua/ua/Kultivatory-ruchnye;V;;Тип устройства;;Культиватор
898;"https://viatec.ua/catalog/sadovii-instrument/0:0;grabli-sapki:kultivator";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;7081201;https://prom.ua/ua/Kultivatory-ruchnye;V, Vmin, noindex;;Тип устройства;;Культиватор
899;"https://viatec.ua/catalog/sadovii-instrument/0:0;grabli-sapki:sadovi-grabli";site;;0,85;1,2;152195979;Садове приладдя;370499;https://prom.ua/ua/Drugaya-sadovaya-mebel;V;;Тип устройства;;Садові граблі
900;"https://viatec.ua/catalog/sadovii-instrument/0:0;grabli-sapki:sadovi-grabli";prom;prom_;0,85;1.39;140905382;Безопасность и комфорт;370499;https://prom.ua/ua/Drugaya-sadovaya-mebel;V, Vmin, noindex;;Тип устройства;;Садові граблі
901;"https://viatec.ua/catalog/sadovii-instrument/0:0;grabli-sapki:grabli-listia";site;;0,85;1,2;152195979;Садове приладдя;1250313;https://prom.ua/ua/Grabli;V;;Тип устройства;;Граблі для листя
902;"https://viatec.ua/catalog/sadovii-instrument/0:0;grabli-sapki:grabli-listia";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;1250313;https://prom.ua/ua/Grabli;V, Vmin, noindex;;Тип устройства;;Граблі для листя
903;"https://viatec.ua/catalog/sadovii-instrument/0:0;grabli-sapki:ruchni-grabli";site;;0,85;1,2;152195979;Садове приладдя;1250313;https://prom.ua/ua/Grabli;V;;Тип устройства;;Ручні граблі
904;"https://viatec.ua/catalog/sadovii-instrument/0:0;grabli-sapki:ruchni-grabli";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;1250313;https://prom.ua/ua/Grabli;V, Vmin, noindex;;Тип устройства;;Ручні граблі
905;"https://viatec.ua/catalog/sadovii-instrument/0:0;grabli-sapki:grunt-grabli";site;;0,85;1,2;152195979;Садове приладдя;1250313;https://prom.ua/ua/Grabli;V;;Тип устройства;;Граблі для грунту
906;"https://viatec.ua/catalog/sadovii-instrument/0:0;grabli-sapki:grunt-grabli";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;1250313;https://prom.ua/ua/Grabli;V, Vmin, noindex;;Тип устройства;;Граблі для грунту
907;"https://viatec.ua/catalog/sadovii-instrument/0:0;grabli-sapki:ruchka";site;;0,85;1,2;152195979;Садове приладдя;1250319;https://prom.ua/ua/Cherenki-dlya-lopat;V;;Тип устройства;;Ручка для граблів
908;"https://viatec.ua/catalog/sadovii-instrument/0:0;grabli-sapki:ruchka";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;1250319;https://prom.ua/ua/Cherenki-dlya-lopat;V, Vmin, noindex;;Тип устройства;;Ручка для граблів
909;"https://viatec.ua/catalog/sadovii-instrument/0:0;sokiri-sikachi:sokira-univers";site;;0,85;1,2;152195979;Садове приладдя;14200301;https://prom.ua/ua/Topory;V;;Тип устройства;;Сокира універсальна
910;"https://viatec.ua/catalog/sadovii-instrument/0:0;sokiri-sikachi:sokira-univers";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;14200301;https://prom.ua/ua/Topory;V, Vmin, noindex;;Тип устройства;;Сокира універсальна
911;"https://viatec.ua/catalog/sadovii-instrument/0:0;sokiri-sikachi:sokira-kolun";site;;0,85;1,2;152195979;Садове приладдя;14200301;https://prom.ua/ua/Topory;V;;Тип устройства;;Сокира-колун
912;"https://viatec.ua/catalog/sadovii-instrument/0:0;sokiri-sikachi:sokira-kolun";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;14200301;https://prom.ua/ua/Topory;V, Vmin, noindex;;Тип устройства;;Сокира-колун
913;"https://viatec.ua/catalog/sadovii-instrument/0:0;sokiri-sikachi:sokira-molot";site;;0,85;1,2;152195979;Садове приладдя;14200301;https://prom.ua/ua/Topory;V;;Тип устройства;;Сокира-молот
914;"https://viatec.ua/catalog/sadovii-instrument/0:0;sokiri-sikachi:sokira-molot";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;14200301;https://prom.ua/ua/Topory;V, Vmin, noindex;;Тип устройства;;Сокира-молот
915;"https://viatec.ua/catalog/sadovii-instrument/0:0;sokiri-sikachi:sokira-machete";site;;0,85;1,2;152195979;Садове приладдя;14200301;https://prom.ua/ua/Topory;V;;Тип устройства;;Сокира-мачете
916;"https://viatec.ua/catalog/sadovii-instrument/0:0;sokiri-sikachi:sokira-machete";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;14200301;https://prom.ua/ua/Topory;V, Vmin, noindex;;Тип устройства;;Сокира-мачете
917;"https://viatec.ua/catalog/sadovii-instrument/0:0;sokiri-sikachi:tochilo";site;;0,85;1,2;152195979;Садове приладдя;15230433;https://prom.ua/ua/Tochilki-dlya-nozhej;V;;Тип устройства;;Точило
918;"https://viatec.ua/catalog/sadovii-instrument/0:0;sokiri-sikachi:tochilo";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;15230433;https://prom.ua/ua/Tochilki-dlya-nozhej;V, Vmin, noindex;;Тип устройства;;Точило
919;"https://viatec.ua/catalog/sadovii-instrument/0:0;posadkovii:vilka";site;;0,85;1,2;152195979;Садове приладдя;1250305;https://prom.ua/ua/Sadovye-sovki;V;;Тип устройства;;Посадкова вилка
920;"https://viatec.ua/catalog/sadovii-instrument/0:0;posadkovii:vilka";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;1250305;https://prom.ua/ua/Sadovye-sovki;V, Vmin, noindex;;Тип устройства;;Посадкова вилка
921;"https://viatec.ua/catalog/sadovii-instrument/0:0;posadkovii:sovok";site;;0,85;1,2;152195979;Садове приладдя;1250305;https://prom.ua/ua/Sadovye-sovki;V;;Тип устройства;;Садовий совок
922;"https://viatec.ua/catalog/sadovii-instrument/0:0;posadkovii:sovok";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;1250305;https://prom.ua/ua/Sadovye-sovki;V, Vmin, noindex;;Тип устройства;;Садовий совок
923;"https://viatec.ua/catalog/sadovii-instrument/0:0;posadkovii:lopatka-nasinnia";site;;0,85;1,2;152195979;Садове приладдя;14201602;https://prom.ua/ua/Lopaty;V;;Тип устройства;;Лопатка для посіву насіння
924;"https://viatec.ua/catalog/sadovii-instrument/0:0;posadkovii:lopatka-nasinnia";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14201602;https://prom.ua/ua/Lopaty;V, Vmin, noindex;;Тип устройства;;Лопатка для посіву насіння
925;"https://viatec.ua/catalog/sadovii-instrument/0:0;posadkovii:bur";site;;0,85;1,2;152195979;Садове приладдя;1250337;https://prom.ua/ua/Zemlebury-ruchnye;V;;Тип устройства;;Садовий бур
926;"https://viatec.ua/catalog/sadovii-instrument/0:0;posadkovii:bur";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;1250337;https://prom.ua/ua/Zemlebury-ruchnye;V, Vmin, noindex;;Тип устройства;;Садовий бур
927;"https://viatec.ua/catalog/sadovii-instrument/0:0;posadkovii:leza-bur";site;;0,85;1,2;152195979;Садове приладдя;14201521;https://prom.ua/ua/Shneki-dlya-burov-snegouborschikov;V;;Тип устройства;;Леза для садового бура
928;"https://viatec.ua/catalog/sadovii-instrument/0:0;posadkovii:leza-bur";prom;prom_;0,85;1.25;140905382;Безопасность и комфорт;14201521;https://prom.ua/ua/Shneki-dlya-burov-snegouborschikov;V, Vmin, noindex;;Тип устройства;;Леза для садового бура
929;"https://viatec.ua/catalog/sadovii-instrument/0:0;sadovi-aksesuari:nabir";site;;0,85;1,2;152195979;Садове приладдя;1250355;https://prom.ua/ua/Nabory-sadovyh-instrumentov;V;;Тип устройства;;Набори садових інструментів
930;"https://viatec.ua/catalog/sadovii-instrument/0:0;sadovi-aksesuari:nabir";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;1250355;https://prom.ua/ua/Nabory-sadovyh-instrumentov;V, Vmin, noindex;;Тип устройства;;Набори садових інструментів
931;"https://viatec.ua/catalog/sadovii-instrument/0:0;sadovi-aksesuari:shitka";site;;0,85;1,2;152195979;Садове приладдя;151405;https://prom.ua/ua/Schetki-dlya-chistki;V;;Тип устройства;;Щітки та скребачки для прибирання
932;"https://viatec.ua/catalog/sadovii-instrument/0:0;sadovi-aksesuari:shitka";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;151405;https://prom.ua/ua/Schetki-dlya-chistki;V, Vmin, noindex;;Тип устройства;;Щітки та скребачки для прибирання
933;"https://viatec.ua/catalog/sadovii-instrument/0:0;sadovi-aksesuari:dlia-miiki";site;;0,85;1,2;152195979;Садове приладдя;121111;https://prom.ua/ua/Komplektuyuschie-dlya-apparatov-vysokogo-davleniya;V;;Тип устройства;;Для мийки високого тиску
934;"https://viatec.ua/catalog/sadovii-instrument/0:0;sadovi-aksesuari:dlia-miiki";prom;prom_;0,85;1.2;140905382;Безопасность и комфорт;121111;https://prom.ua/ua/Komplektuyuschie-dlya-apparatov-vysokogo-davleniya;V, Vmin, noindex;;Тип устройства;;Для мийки високого тиску
935;"https://viatec.ua/catalog/sadovii-instrument/0:0;sadovi-aksesuari:rukavichki";site;;0,85;1,2;152195979;Садове приладдя;151406;https://prom.ua/ua/Perchatki-hozyajstvennye;V;;Тип устройства;;Садові рукавички
936;"https://viatec.ua/catalog/sadovii-instrument/0:0;sadovi-aksesuari:rukavichki";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;151406;https://prom.ua/ua/Perchatki-hozyajstvennye;V, Vmin, noindex;;Тип устройства;;Садові рукавички
937;"https://viatec.ua/catalog/sadovii-instrument/0:0;sadovi-aksesuari:nizh-vazhki-roboti";site;;0,85;1,2;152195979;Садове приладдя;1250312;https://prom.ua/ua/Sadovye-nozhnitsy;V;;Тип устройства;;Ніж для важких робіт
938;"https://viatec.ua/catalog/sadovii-instrument/0:0;sadovi-aksesuari:nizh-vazhki-roboti";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;1250312;https://prom.ua/ua/Sadovye-nozhnitsy;V, Vmin, noindex;;Тип устройства;;Ніж для важких робіт
939;"https://viatec.ua/catalog/sadovii-instrument/0:0;sadovi-aksesuari:nasadka-dlia-privodu";site;;0,85;1,2;152195979;Садове приладдя;1250311;https://prom.ua/ua/Pily-dlya-obrezki-vetvej;V;;Тип устройства;;Насадка для універсального приводу
940;"https://viatec.ua/catalog/sadovii-instrument/0:0;sadovi-aksesuari:nasadka-dlia-privodu";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;1250311;https://prom.ua/ua/Pily-dlya-obrezki-vetvej;V, Vmin, noindex;;Тип устройства;;Насадка для універсального приводу
941;"https://viatec.ua/catalog/sadovii-instrument/0:0;lid-snig:skrebok-lodu";site;;0,85;1,2;152195979;Садове приладдя;151405;https://prom.ua/ua/Schetki-dlya-chistki;V;;Тип устройства;;Скребок для льоду і щітки
942;"https://viatec.ua/catalog/sadovii-instrument/0:0;lid-snig:skrebok-lodu";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;151405;https://prom.ua/ua/Schetki-dlya-chistki;V, Vmin, noindex;;Тип устройства;;Скребок для льоду і щітки
943;"https://viatec.ua/catalog/sadovii-instrument/0:0;lid-snig:ckreper-snig";site;;0,85;1,2;152195979;Садове приладдя;14201602;https://prom.ua/ua/Lopaty;V;;Тип устройства;;Скрепер для прибирання снігу
944;"https://viatec.ua/catalog/sadovii-instrument/0:0;lid-snig:ckreper-snig";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14201602;https://prom.ua/ua/Lopaty;V, Vmin, noindex;;Тип устройства;;Скрепер для прибирання снігу
945;"https://viatec.ua/catalog/sadovii-instrument/0:0;lid-snig:lopata-dlia-snigu";site;;0,85;1,2;152195979;Садове приладдя;14201602;https://prom.ua/ua/Lopaty;V;;Тип устройства;;Лопата для прибирання снігу
946;"https://viatec.ua/catalog/sadovii-instrument/0:0;lid-snig:lopata-dlia-snigu";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14201602;https://prom.ua/ua/Lopaty;V, Vmin, noindex;;Тип устройства;;Лопата для прибирання снігу
947;"https://viatec.ua/catalog/sadovii-instrument/0:0;lid-snig:avto-skrebok";site;;0,85;1,2;152195979;Садове приладдя;121250;https://prom.ua/ua/Avtomobilnye-schetki-i-skrebki;V;;Тип устройства;;Автомобільний скребок для льоду
948;"https://viatec.ua/catalog/sadovii-instrument/0:0;lid-snig:avto-skrebok";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;121250;https://prom.ua/ua/Avtomobilnye-schetki-i-skrebki;V, Vmin, noindex;;Тип устройства;;Автомобільний скребок для льоду
949;"https://viatec.ua/catalog/sadovii-instrument/0:0;lid-snig:avto-lopata";site;;0,85;1,2;152195979;Садове приладдя;14201602;https://prom.ua/ua/Lopaty;V;;Тип устройства;;Автомобільна лопата
950;"https://viatec.ua/catalog/sadovii-instrument/0:0;lid-snig:avto-lopata";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14201602;https://prom.ua/ua/Lopaty;V, Vmin, noindex;;Тип устройства;;Автомобільна лопата
951;"https://viatec.ua/catalog/setevie-udleniteli/0:0;tip-elektotovaru:podovzhuvach";site;;0,85;1,2;152196244;Вилки, колодки, удлинители;513;https://prom.ua/Udliniteli-elektricheskie;V;;Тип устройства;;Подовжувач
952;"https://viatec.ua/catalog/setevie-udleniteli/0:0;tip-elektotovaru:podovzhuvach";prom;prom_;0,85;1.32;140905382;Безопасность и комфорт;513;https://prom.ua/Udliniteli-elektricheskie;V, Vmin, noindex;;Тип устройства;;Подовжувач
953;"https://viatec.ua/catalog/setevie-udleniteli/0:0;tip-elektotovaru:vilka";site;;0,85;1,2;152196244;Вилки, колодки, удлинители;53005;https://prom.ua/ua/Vilki-elektricheskie;V;;Тип устройства;;Вилка
954;"https://viatec.ua/catalog/setevie-udleniteli/0:0;tip-elektotovaru:vilka";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;53005;https://prom.ua/ua/Vilki-elektricheskie;V, Vmin, noindex;;Тип устройства;;Вилка
955;"https://viatec.ua/catalog/setevie-udleniteli/0:0;tip-elektotovaru:rozetka";site;;0,85;1,2;152196244;Вилки, колодки, удлинители;53004;https://prom.ua/ua/Rozetki-elektricheskie;V;;Тип устройства;;Розетка
956;"https://viatec.ua/catalog/setevie-udleniteli/0:0;tip-elektotovaru:rozetka";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;53004;https://prom.ua/ua/Rozetki-elektricheskie;V, Vmin, noindex;;Тип устройства;;Розетка
957;"https://viatec.ua/catalog/setevie-udleniteli/0:0;tip-elektotovaru:adapter";site;;0,85;1,2;152196244;Вилки, колодки, удлинители;513;https://prom.ua/ua/Udliniteli-elektricheskie;V;;Тип устройства;;Трійники
958;"https://viatec.ua/catalog/setevie-udleniteli/0:0;tip-elektotovaru:adapter";prom;prom_;0,85;1.32;140905382;Безопасность и комфорт;513;https://prom.ua/ua/Udliniteli-elektricheskie;V, Vmin, noindex;;Тип устройства;;Трійники
959;"https://viatec.ua/catalog/osvitlennia/0:0;tip-svitilnika:prozhektor";site;;0,85;1,2;152197115;Освещение;150401;https://prom.ua/ua/Naruzhnoe-osveschenie;V;;Тип устройства;;LED прожектор
960;"https://viatec.ua/catalog/osvitlennia/0:0;tip-svitilnika:prozhektor";prom;prom_;0,85;1.32;140905382;Безопасность и комфорт;150401;https://prom.ua/ua/Naruzhnoe-osveschenie;V, Vmin, noindex;;Тип устройства;;LED прожектор
961;"https://viatec.ua/catalog/osvitlennia/0:0;tip-svitilnika:panel";site;;0,85;1,2;152197115;Освещение;15040605;https://prom.ua/ua/Potolochnye-svetilniki-1;V;;Тип устройства;;LED панель
962;"https://viatec.ua/catalog/osvitlennia/0:0;tip-svitilnika:panel";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;15040605;https://prom.ua/ua/Potolochnye-svetilniki-1;V, Vmin, noindex;;Тип устройства;;LED панель
963;"https://viatec.ua/catalog/osvitlennia/0:0;tip-svitilnika:svitilnik";site;;0,85;1,2;152197115;Освещение;39050503;https://prom.ua/ua/Tochechnye-svetilniki-;V;;Тип устройства;;LED світильник
964;"https://viatec.ua/catalog/osvitlennia/0:0;tip-svitilnika:svitilnik";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;39050503;https://prom.ua/ua/Tochechnye-svetilniki-;V, Vmin, noindex;;Тип устройства;;LED світильник
965;"https://viatec.ua/catalog/osvitlennia/0:0;tip-svitilnika:lampochka";site;;0,85;1,2;152197115;Освещение;150402;https://prom.ua/ua/Lampochki;V;;Тип устройства;;LED лампочка
966;"https://viatec.ua/catalog/osvitlennia/0:0;tip-svitilnika:lampochka";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;150402;https://prom.ua/ua/Lampochki;V, Vmin, noindex;;Тип устройства;;LED лампочка
967;"https://viatec.ua/catalog/osvitlennia/0:0;tip-svitilnika:led-strichka";site;;0,85;1,2;152197115;Освещение;15040606;https://prom.ua/ua/Led-podsvetka-intererov;V;;Тип устройства;;LED стрічка
968;"https://viatec.ua/catalog/osvitlennia/0:0;tip-svitilnika:led-strichka";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;15040606;https://prom.ua/ua/Led-podsvetka-intererov;V, Vmin, noindex;;Тип устройства;;LED стрічка
969;"https://viatec.ua/catalog/osvitlennia/0:0;tip-svitilnika:block-zhivlennia-led";site;;0,85;1,2;152197115;Освещение;14191103;https://prom.ua/ua/Promyshlennye-istochniki-pitaniya;V;;Тип устройства;;Блок живлення для LED стрічки
970;"https://viatec.ua/catalog/osvitlennia/0:0;tip-svitilnika:block-zhivlennia-led";prom;prom_;0,85;1.27;140905382;Безопасность и комфорт;14191103;https://prom.ua/ua/Promyshlennye-istochniki-pitaniya;V, Vmin, noindex;;Тип устройства;;Блок живлення для LED стрічки
971;"https://viatec.ua/catalog/osvitlennia/0:0;tip-svitilnika:nabir-z-datchikom";site;;0,85;1,2;152197115;Освещение;150426;https://prom.ua/ua/Led-osveschenie;V;;Тип устройства;;Набір датчик+світильники
972;"https://viatec.ua/catalog/osvitlennia/0:0;tip-svitilnika:nabir-z-datchikom";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;150426;https://prom.ua/ua/Led-osveschenie;V, Vmin, noindex;;Тип устройства;;Набір датчик+світильники
973;"https://viatec.ua/catalog/osvitlennia/0:0;tip-svitilnika:datchik-ruhu";site;;0,85;1,2;152197115;Освещение;14190910;https://prom.ua/ua/Fotorele;V;;Тип устройства;;Датчик руху/освітленості
974;"https://viatec.ua/catalog/osvitlennia/0:0;tip-svitilnika:datchik-ruhu";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14190910;https://prom.ua/ua/Fotorele;V, Vmin, noindex;;Тип устройства;;Датчик руху/освітленості
975;"https://viatec.ua/catalog/osvitlennia/0:0;tip-svitilnika:shinoprovid-trek";site;;0,85;1,2;152197115;Освещение;39050503;https://prom.ua/ua/Tochechnye-svetilniki-;V;;Тип устройства;;Шинопровід трекових світильників
976;"https://viatec.ua/catalog/osvitlennia/0:0;tip-svitilnika:shinoprovid-trek";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;39050503;https://prom.ua/ua/Tochechnye-svetilniki-;V, Vmin, noindex;;Тип устройства;;Шинопровід трекових світильників
977;"https://viatec.ua/catalog/ziz/0:0;tip-ziz:sholom";site;;0,85;1,2;152197317;Средства индивидуальной защиты;301911;https://prom.ua/Kaski-zaschitnye;V;;Тип устройства;;Будівельні каски
978;"https://viatec.ua/catalog/ziz/0:0;tip-ziz:sholom";prom;prom_;0,85;1.29;140905382;Безопасность и комфорт;301911;https://prom.ua/Kaski-zaschitnye;V, Vmin, noindex;;Тип устройства;;Будівельні каски
