№;Ідентифікатор_підрозділу;Посилання_підрозділу;Тип устройства;universal_phrases_ru;universal_phrases_ua;base_keyword_ru;base_keyword_ua;allowed_specs
228;14200502;https://prom.ua/ua/Shlifovalnye-mashiny;Вібраційна шліфувальна машина;"вибрационная шлифмашина, шлифмашина вибрационная, шлифмашина плоская, шлифмашина для дерева, шлифмашина электрическая, шлифмашина для отделки, виброшлифмашина, шлифмашина инструмент, шлифмашина для стен, шлифмашина компактная";"вібраційна шліфувальна машина, шліфмашина вібраційна, шліфмашина плоска, шліфмашина для дерева, шліфмашина електрична, шліфмашина для обробки, віброшліфмашина, шліфмашина інструмент, шліфмашина для стін, шліфмашина компактна";вибрационная шлифмашина;вібраційна шліфувальна машина;"Виробник, Тип устройства"
229;141735;https://prom.ua/ua/Mnogofunktsionalnye-instrumenty;Багатофункціональний інструмент;"многофункциональный инструмент, мультитул электрический, универсальный инструмент, мультитул, инструмент многофункциональный, инструмент для резки и шлифовки, мультитул для дома, инструмент комбинированный, мультитул строительный, универсальный электроинструмент";"багатофункціональний інструмент, мультитул електричний, універсальний інструмент, мультитул, інструмент багатофункціональний, інструмент для різання та шліфування, мультитул для дому, інструмент комбінований, мультитул будівельний, універсальний електроінструмент";многофункциональный инструмент;багатофункціональний інструмент;"Виробник, Тип устройства"
230;14400804;https://prom.ua/ua/Payalnye-lampy;Газова паяльна лампа;"газовая паяльная лампа, газовая горелка, лампа паяльная газовая, горелка для пайки, газовая лампа для пайки, инструмент пайки газовый, лампа паяльная инструмент, газовая горелка ручная, лампа для пайки, газовая горелка для ремонта";"газова паяльна лампа, газовий пальник, лампа паяльна газова, пальник для пайки, газова лампа для пайки, інструмент пайки газовий, лампа паяльна інструмент, газовий пальник ручний, лампа для пайки, газовий пальник для ремонту";газовая паяльная лампа;газова паяльна лампа;"Виробник, Тип устройства"
231;141703;https://prom.ua/ua/Frezernye-mashiny;Фрезер;"фрезер, фрезер электрический, ручной фрезер, фрезер по дереву, фрезер инструмент, фрезер для обработки, фрезер строительный, фрезер мощный, фрезер для мастерской, фрезер станок ручной";"фрезер, фрезер електричний, ручний фрезер, фрезер по дереву, фрезер інструмент, фрезер для обробки, фрезер будівельний, фрезер потужний, фрезер для майстерні, фрезер станок ручний";фрезер;фрезер;"Виробник, Тип устройства"
232;141713;https://prom.ua/ua/Elektrolobziki;Електролобзик;"электролобзик, лобзик электрический, лобзик инструмент, лобзик для дерева, лобзик строительный, лобзик мощный, лобзик для резки, лобзик ручной электрический, лобзик для дома, лобзик точный";"електролобзик, лобзик електричний, лобзик інструмент, лобзик для дерева, лобзик будівельний, лобзик потужний, лобзик для різання, лобзик ручний електричний, лобзик для дому, лобзик точний";электролобзик;електролобзик;"Виробник, Тип устройства"
233;14209803;https://prom.ua/ua/Sverlilnye-stanki;Свердлильний верстат;"сверлильный станок, станок сверлильный, станок для сверления, сверлильный станок настольный, станок инструмент, станок для мастерской, станок сверления металла, станок мощный, станок сверлильный электрический, станок для работ";"свердлильний верстат, верстат свердлильний, верстат для свердління, свердлильний верстат настільний, верстат інструмент, верстат для майстерні, верстат свердління металу, верстат потужний, верстат свердлильний електричний, верстат для робіт";сверлильный станок;свердлильний верстат;"Виробник, Тип устройства"
234;141718;https://prom.ua/ua/Shtroborezy;Штроборіз;"штроборез, штроборез электрический, штроборез для стен, штроборез инструмент, штроборез для проводки, штроборез строительный, штроборез мощный, штроборез для бетона, штроборез профессиональный, штроборез резка стен";"штроборіз, штроборіз електричний, штроборіз для стін, штроборіз інструмент, штроборіз для проводки, штроборіз будівельний, штроборіз потужний, штроборіз для бетону, штроборіз професійний, штроборіз різка стін";штроборез;штроборіз;"Виробник, Тип устройства"
235;141723;https://prom.ua/Miksery-stroitelnye-elektricheskie;Будівельний міксер;"бетономешалка, миксер для бетона, бетономешалка электрическая, бетономешалка строительная, бетономешалка для раствора, миксер строительный, бетономешалка инструмент, бетономешалка мощная, бетономешалка для стройки, миксер раствора";"бетономішалка, міксер для бетону, бетономішалка електрична, бетономішалка будівельна, бетономішалка для розчину, міксер будівельний, бетономішалка інструмент, бетономішалка потужна, бетономішалка для будівництва, міксер розчину";бетономешалка;бетономішалка;"Виробник, Тип устройства"
236;141706;https://prom.ua/ua/Feny-tehnicheskie;Промисловий фен;"строительный фен, фен промышленный, термофен, фен для пайки, фен горячего воздуха, фен строительный электрический, фен инструмент, фен для ремонта, фен мощный, фен термоинструмент";"промисловий фен, фен будівельний, термофен, фен для пайки, фен гарячого повітря, фен будівельний електричний, фен інструмент, фен для ремонту, фен потужний, фен термоінструмент";строительный фен;промисловий фен;"Виробник, Тип устройства"
237;14201612;https://prom.ua/ua/Kraskopulty-elektricheskie;Фарбопульт;"краскопульт, пульверизатор, краскопульт электрический, распылитель краски, краскопульт для покраски, краскопульт инструмент, пульверизатор для дома, краскопульт строительный, распылитель электрический, краскопульт мощный";"фарбопульт, пульверизатор, фарбопульт електричний, розпилювач фарби, фарбопульт для фарбування, фарбопульт інструмент, пульверизатор для дому, фарбопульт будівельний, розпилювач електричний, фарбопульт потужний";краскопульт;фарбопульт;"Виробник, Тип устройства"
238;141002;https://prom.ua/ua/Kompressory-porshnevye;Компресор;"компрессор, компрессор воздушный, компрессор для воздуха, компрессор электрический, компрессор для гаража, компрессор инструмент, компрессор мощный, компрессор для покраски, компрессор строительный, компрессор переносной";"компресор, компресор повітряний, компресор для повітря, компресор електричний, компресор для гаража, компресор інструмент, компресор потужний, компресор для фарбування, компресор будівельний, компресор переносний";компрессор;компресор;"Виробник, Тип устройства"
239;141726;https://prom.ua/ua/Kleevye-pistolety-elektricheskie;Клейовий пістолет;"клеевой пистолет, термоклеевой пистолет, пистолет для клея, клеевой пистолет электрический, пистолет горячего клея, клеевой инструмент, пистолет для рукоделия, клеевой пистолет для ремонта, термопистолет, пистолет для стержней";"клейовий пістолет, термоклейовий пістолет, пістолет для клею, клейовий пістолет електричний, пістолет гарячого клею, клейовий інструмент, пістолет для рукоділля, клейовий пістолет для ремонту, термопістолет, пістолет для стрижнів";клеевой пистолет;клейовий пістолет;"Виробник, Тип устройства"
240;147002;https://prom.ua/ua/Professionalnye-pylesosy;Порохотяг;"пылесос, пылесос строительный, пылесос промышленный, пылесос для дома, пылесос для уборки, пылесос мощный, пылесос инструмент, пылесос сухая уборка, пылесос электрический, пылесос универсальный";"пилосос, пилосос будівельний, пилосос промисловий, пилосос для дому, пилосос для прибирання, пилосос потужний, пилосос інструмент, пилосос сухе прибирання, пилосос електричний, пилосос універсальний";пылесос;пилосос;"Виробник, Тип устройства"
241;12110103;https://prom.ua/ua/Stanki-dlya-rihtovki-diskov;Верстат;"станок, станок электрический, станок для мастерской, станок инструмент, станок универсальный, станок для обработки, станок мощный, станок промышленный, станок рабочий, станок для дома";"верстат, верстат електричний, верстат для майстерні, верстат інструмент, верстат універсальний, верстат для обробки, верстат потужний, верстат промисловий, верстат робочий, верстат для дому";станок;верстат;"Виробник, Тип устройства"
242;4305;https://prom.ua/ua/Fugovalno-rejsmusovye-stanki;Рейсмус;"рейсмус, рейсмусовый станок, станок рейсмус, рейсмус для дерева, рейсмус электрический, рейсмус инструмент, рейсмус для мастерской, рейсмус обработка дерева, рейсмус станок настольный, рейсмус строгальный";"рейсмус, рейсмусовий верстат, верстат рейсмус, рейсмус для дерева, рейсмус електричний, рейсмус інструмент, рейсмус для майстерні, рейсмус обробка дерева, рейсмус верстат настільний, рейсмус стругальний";рейсмус;рейсмус;"Виробник, Тип устройства"
243;14200502;https://prom.ua/ua/Shlifovalnye-mashiny;Шліфмашина по гіпсокартону;"шлифмашина для гипсокартона, жираф шлифмашина, шлифмашина стен, шлифмашина потолка, шлифмашина строительная, шлифмашина электрическая, шлифмашина для отделки, шлифмашина инструмент, шлифмашина длинная, шлифмашина для ремонта";"шліфмашина для гіпсокартону, жираф шліфмашина, шліфмашина стін, шліфмашина стелі, шліфмашина будівельна, шліфмашина електрична, шліфмашина для обробки, шліфмашина інструмент, шліфмашина довга, шліфмашина для ремонту";шлифмашина для гипсокартона;шліфмашина для гіпсокартону;"Виробник, Тип устройства"
244;150410;https://prom.ua/ua/Fonariki-;Ліхтарик;"фонарик, фонарь, фонарь аккумуляторный, фонарь ручной, фонарь светодиодный, фонарь мощный, фонарь переносной, фонарь для дома, фонарь кемпинговый, фонарь карманный";"ліхтарик, ліхтар, ліхтар акумуляторний, ліхтар ручний, ліхтар світлодіодний, ліхтар потужний, ліхтар переносний, ліхтар для дому, ліхтар кемпінговий, ліхтар кишеньковий";фонарик;ліхтарик;"Виробник, Тип устройства"
245;150405;https://prom.ua/ua/Promyshlennoe-osveschenie;Будівельний прожектор;"строительный прожектор, прожектор светодиодный, прожектор уличный, прожектор мощный, прожектор для стройки, прожектор освещения, прожектор переносной, прожектор электрический, прожектор рабочий, прожектор led";"будівельний прожектор, прожектор світлодіодний, прожектор вуличний, прожектор потужний, прожектор для будівництва, прожектор освітлення, прожектор переносний, прожектор електричний, прожектор робочий, прожектор led";строительный прожектор;будівельний прожектор;"Виробник, Тип устройства"
246;632;https://prom.ua/ua/Radiopriemniki;Радіоприймач;"радиоприемник, радио портативное, радио fm, радиоприемник переносной, радио для дома, радиоприемник цифровой, радио устройство, радиоприемник компактный, радио батарейное, радиоприемник fm";"радіоприймач, радіо портативне, радіо fm, радіоприймач переносний, радіо для дому, радіоприймач цифровий, радіо пристрій, радіоприймач компактний, радіо на батарейках, радіоприймач fm";радиоприемник;радіоприймач;"Виробник, Тип устройства"
247;143109;https://prom.ua/ua/Zatochnoe-oborudovanie;Точильний станок;"точильный станок, станок заточной, точило электрическое, станок для заточки, точильный инструмент, точильный станок для ножей, станок заточки инструмента, точило настольное, точильный станок электрический, станок заточный";"точильний станок, верстат заточний, точило електричне, верстат для заточки, точильний інструмент, точильний станок для ножів, верстат заточки інструменту, точило настільне, точильний станок електричний, верстат заточний";точильный станок;точильний станок;"Виробник, Тип устройства"
248;12110205;https://prom.ua/ua/Avtomobilnye-nasosy-kompressory;Насос стисненого повітря;"насос сжатого воздуха, компрессор насос, насос воздушный, насос для воздуха, насос электрический воздушный, насос компрессорный, насос для накачки, насос инструмент, насос мощный, насос переносной";"насос стисненого повітря, насос повітряний, насос для повітря, насос електричний повітряний, насос компресорний, насос для накачування, насос інструмент, насос потужний, насос переносний, насос для шин";насос сжатого воздуха;насос стисненого повітря;"Виробник, Тип устройства"
249;151405;https://prom.ua/ua/Schetki-dlya-chistki;Універсальна електрощітка;"электрощетка, щетка электрическая, электрощетка для уборки, щетка аккумуляторная, щетка для чистки, электрощетка универсальная, щетка инструмент, щетка для дома, щетка вращающаяся, щетка электрическая для чистки";"універсальна електрощітка, електрощітка, щітка електрична, електрощітка для прибирання, щітка акумуляторна, щітка для чистки, електрощітка універсальна, щітка інструмент, щітка для дому, щітка обертова";электрощетка;універсальна електрощітка;"Виробник, Тип устройства"
250;142004;https://prom.ua/ua/Nabory-instrumentov;Пневмоінструмент;"пневмоинструмент, инструмент пневматический, пневмоинструмент для компрессора, пневматический инструмент набор, пневмоинструмент для мастерской, пневмоинструмент профессиональный, инструмент воздушный, пневмоинструмент для ремонта, пневмоинструмент мощный, пневмоинструмент комплект";"пневмоінструмент, інструмент пневматичний, пневмоінструмент для компресора, пневматичний інструмент набір, пневмоінструмент для майстерні, пневмоінструмент професійний, інструмент повітряний, пневмоінструмент для ремонту, пневмоінструмент потужний, пневмоінструмент комплект";пневмоинструмент;пневмоінструмент;"Виробник, Тип устройства"
251;63022;https://prom.ua/ua/Paroochistitel;Пароочисник;"пароочиститель, очиститель паром, пароочиститель бытовой, пароочиститель для уборки, пароочиститель ручной, пароочиститель мощный, очиститель паровой, пароочиститель инструмент, пароочиститель для дома, пароочиститель универсальный";"пароочисник, очищувач парою, пароочисник побутовий, пароочисник для прибирання, пароочисник ручний, пароочисник потужний, очищувач паровий, пароочисник інструмент, пароочисник для дому, пароочисник універсальний";пароочиститель;пароочисник;"Виробник, Тип устройства"
252;13040909;https://prom.ua/ua/Vehi-i-rejki-nivelirnye;Штатив для нівелірів;"штатив для нивелира, штатив строительный, штатив лазерного уровня, штатив инструмент, штатив для измерений, штатив регулируемый, штатив для уровня, штатив для нивелира алюминиевый, штатив для лазера, штатив устойчивый";"штатив для нівеліра, штатив будівельний, штатив лазерного рівня, штатив інструмент, штатив для вимірювань, штатив регульований, штатив для рівня, штатив для нівеліра алюмінієвий, штатив для лазера, штатив стійкий";штатив для нивелира;штатив для нівеліра;"Виробник, Тип устройства"
253;602;https://prom.ua/ua/Holodilniki;Акумуляторний холодильник;"аккумуляторный холодильник, холодильник портативный, холодильник автомобильный, холодильник переносной, холодильник для авто, холодильник с аккумулятором, холодильник дорожный, холодильник компактный, холодильник для поездок, холодильник охлаждение";"акумуляторний холодильник, холодильник портативний, холодильник автомобільний, холодильник переносний, холодильник для авто, холодильник з акумулятором, холодильник дорожній, холодильник компактний, холодильник для поїздок, холодильник охолодження";аккумуляторный холодильник;акумуляторний холодильник;"Виробник, Тип устройства"
254;608;https://prom.ua/ua/Pylesosy;Віконний пилосос;"оконный пылесос, пылесос для окон, стеклоочиститель электрический, пылесос для стекол, мойщик окон электрический, пылесос для мытья окон, очиститель стекла, пылесос компактный, пылесос для дома окна, пылесос для стеклянных поверхностей";"віконний пилосос, пилосос для вікон, склоочисник електричний, пилосос для скла, мийник вікон електричний, пилосос для миття вікон, очищувач скла, пилосос компактний, пилосос для дому вікна, пилосос для скляних поверхонь";оконный пылесос;віконний пилосос;"Виробник, Тип устройства"
255;151408;https://prom.ua/ua/Shvabry;Електрошвабра;"электрошвабра, швабра электрическая, швабра для уборки, швабра с мотором, швабра аккумуляторная, швабра для пола, швабра для дома, швабра инструмент, швабра влажная уборка, швабра современная";"електрошвабра, швабра електрична, швабра для прибирання, швабра з мотором, швабра акумуляторна, швабра для підлоги, швабра для дому, швабра інструмент, швабра вологе прибирання, швабра сучасна";электрошвабра;електрошвабра;"Виробник, Тип устройства"
256;5280501;https://prom.ua/ua/Akkumulyatornye-bloki;Акумулятор для інструмента;"аккумулятор, аккумуляторная батарея, батарея аккумуляторная, аккумулятор питания, аккумулятор литиевый, аккумулятор для инструмента, аккумулятор запасной, аккумулятор мощный, аккумулятор зарядный, аккумулятор энергия";"акумулятор, акумуляторна батарея, батарея акумуляторна, акумулятор живлення, акумулятор літієвий, акумулятор для інструмента, акумулятор запасний, акумулятор потужний, акумулятор зарядний, акумулятор енергія";аккумулятор;акумулятор;"Виробник, Тип устройства, Тип акумулятора, Ємність акумулятору, Напруга"
257;410201;https://prom.ua/ua/Zaryadnye-ustrojstva-dlya-akkumulyatorov;Зарядний пристрій;"зарядное устройство, зарядка для аккумулятора, зарядное для батареи, зарядное устройство универсальное, зарядка для инструмента, зарядное устройство электрическое, зарядное для аккумулятора инструмент, зарядное устройство быстрое, зарядка адаптер, зарядное питание";"зарядний пристрій, зарядка для акумулятора, зарядний для батареї, зарядний пристрій універсальний, зарядка для інструмента, зарядний пристрій електричний, зарядний для акумулятора інструмент, зарядний пристрій швидкий, зарядка адаптер, зарядний живлення";зарядное устройство;зарядний пристрій;"Виробник, Тип устройства"
258;410201;https://prom.ua/ua/Zaryadnye-ustrojstva-dlya-akkumulyatorov;Зарядний пристрій+акумулятор;"зарядное устройство с аккумулятором, комплект зарядка аккумулятор, набор аккумулятор и зарядка, комплект питания инструмента, аккумулятор с зарядным устройством, набор батарея зарядка, комплект аккумулятор зарядка инструмент, аккумулятор зарядное комплект, зарядка и батарея набор, комплект питания";"зарядний пристрій з акумулятором, комплект зарядка акумулятор, набір акумулятор і зарядка, комплект живлення інструмента, акумулятор із зарядним пристроєм, набір батарея зарядка, комплект акумулятор зарядка інструмент, акумулятор зарядний комплект, зарядка і батарея набір, комплект живлення";зарядное устройство с аккумулятором;зарядний пристрій з акумулятором;"Виробник, Тип устройства"
259;14201506;https://prom.ua/ua/Pilki-dlya-lobzikov;Полотна для лобзика;"полотна для лобзика, пилки для лобзика, пильное полотно лобзика, набор полотен лобзика, пилки по дереву лобзик, пилки по металлу лобзик, полотно лобзик универсальное, пилки сменные лобзика, полотно для резки, аксессуары для лобзика";"полотна для лобзика, пилки для лобзика, пильне полотно лобзика, набір полотен лобзика, пилки по дереву лобзик, пилки по металу лобзик, полотно лобзик універсальне, пилки змінні лобзика, полотно для різання, аксесуари для лобзика";полотна для лобзика;полотна для лобзика;"Виробник, Тип устройства"
260;14201509;https://prom.ua/ua/Diski-pilnye-po-derevu;Відрізне коло сталь;"отрезной круг по стали, диск отрезной металл, круг для резки стали, диск болгарки по металлу, круг абразивный сталь, отрезной диск для металла, круг для резки металла, диск стальной отрезной, круг для болгарки металл, диск абразивный сталь";"відрізне коло по сталі, диск відрізний метал, круг для різання сталі, диск болгарки по металу, круг абразивний сталь, відрізний диск для металу, круг для різання металу, диск сталевий відрізний, круг для болгарки метал, диск абразивний сталь";отрезной круг по стали;відрізне коло по сталі;"Виробник, Тип устройства"
261;14201509;https://prom.ua/ua/Diski-pilnye-po-derevu;Шліфкруг;"шлифовальный круг, круг для шлифовки, диск шлифовальный, круг абразивный, круг для болгарки шлифовка, диск шлифовальный металл, круг зачистной, круг шлифовальный универсальный, диск для шлифовки, круг абразивный диск";"шліфкруг, шліфувальний круг, круг для шліфування, диск шліфувальний, круг абразивний, круг для болгарки шліфування, диск шліфувальний метал, круг зачисний, круг шліфувальний універсальний, диск для шліфування";шлифовальный круг;шліфувальний круг;"Виробник, Тип устройства"
262;14201509;https://prom.ua/ua/Diski-pilnye-po-derevu;Обдирний круг сталь;"обдирочный круг по металлу, круг зачистной сталь, диск обдирочный металл, круг для зачистки стали, обдирочный диск болгарка, круг шлифовальный грубый, диск для зачистки металла, круг для удаления сварки, круг абразивный сталь, диск зачистной";"обдирний круг по металу, круг зачисний сталь, диск обдирний метал, круг для зачистки сталі, обдирний диск болгарка, круг шліфувальний грубий, диск для зачистки металу, круг для видалення зварювання, круг абразивний сталь, диск зачисний";обдирочный круг по металлу;обдирний круг по металу;"Виробник, Тип устройства"
263;14201509;https://prom.ua/ua/Diski-pilnye-po-derevu;Відрізне коло бетон;"отрезной круг по бетону, диск по бетону, круг алмазный бетон, диск для резки бетона, круг для болгарки бетон, диск абразивный бетон, диск алмазный универсальный, круг для камня, диск для резки камня, круг бетон резка";"відрізне коло по бетону, диск по бетону, круг алмазний бетон, диск для різання бетону, круг для болгарки бетон, диск абразивний бетон, диск алмазний універсальний, круг для каменю, диск для різання каменю, круг бетон різання";отрезной круг по бетону;відрізне коло по бетону;"Виробник, Тип устройства"
264;14201509;https://prom.ua/ua/Diski-pilnye-po-derevu;Відрізний круг кольорові метали;"отрезной круг цветные металлы, диск по алюминию, круг для меди резка, диск для цветмета, круг отрезной алюминий, диск для мягких металлов, круг для резки цветмета, диск тонкий металл, круг абразивный цветмет, диск по цветным металлам";"відрізний круг кольорові метали, диск по алюмінію, круг для міді різання, диск для кольорового металу, круг відрізний алюміній, диск для м’яких металів, круг для різання кольорового металу, диск тонкий метал, круг абразивний кольорові метали, диск по кольорових металах";отрезной круг цветные металлы;відрізний круг кольорові метали;"Виробник, Тип устройства"
265;14201607;https://prom.ua/ua/Sverla;Свердла по металу;"сверло по металлу, сверла металлические, набор сверл металл, сверло сталь, сверло для дрели металл, сверло спиральное металл, сверло по железу, сверло точное металл, сверло для сверления металла, сверло универсальное металл";"свердло по металу, свердла металеві, набір свердел метал, свердло сталь, свердло для дриля метал, свердло спіральне метал, свердло по залізу, свердло точне метал, свердло для свердління металу, свердло універсальне метал";сверло по металлу;свердло по металу;"Виробник, Тип устройства"
266;14201607;https://prom.ua/ua/Sverla;Свердла по кераміці;"сверло по керамике, сверло по плитке, сверло для плитки, сверло стекло керамика, сверло для кафеля, сверло копьевидное, сверло для дрели плитка, сверло для стекла, сверло керамика точное, сверло универсальное плитка";"свердло по кераміці, свердло по плитці, свердло для плитки, свердло скло кераміка, свердло для кахлю, свердло списоподібне, свердло для дриля плитка, свердло для скла, свердло кераміка точне, свердло універсальне плитка";сверло по керамике;свердло по кераміці;"Виробник, Тип устройства"
267;14201607;https://prom.ua/ua/Sverla;Свердла по дереву;"сверло по дереву, сверла древесина, сверло перьевое дерево, сверло для дрели дерево, сверло спиральное дерево, сверло по дереву набор, сверло столярное, сверло для отверстий дерево, сверло универсальное дерево, сверло длинное дерево";"свердло по дереву, свердла деревина, свердло перове дерево, свердло для дриля дерево, свердло спіральне дерево, свердло по дереву набір, свердло столярне, свердло для отворів дерево, свердло універсальне дерево, свердло довге дерево";сверло по дереву;свердло по дереву;"Виробник, Тип устройства"
268;14201607;https://prom.ua/ua/Sverla;Свердла комбінований набір;"набор сверл универсальный, сверла набор комбинированный, набор сверл по металлу дереву, комплект сверл, набор сверл для дрели, сверла универсальные набор, комплект сверл разные материалы, набор инструмент сверла, сверла комплект, набор сверл универсальный инструмент";"набір свердел універсальний, свердла набір комбінований, набір свердел по металу дереву, комплект свердел, набір свердел для дриля, свердла універсальні набір, комплект свердел різні матеріали, набір інструмент свердла, свердла комплект, набір свердел універсальний інструмент";набор сверл универсальный;набір свердел універсальний;"Виробник, Тип устройства"
269;14201508;https://prom.ua/ua/Koltsevye-pily;Набір коронок;"набор коронок, коронки сверлильные, набор коронок по дереву, коронки по металлу, коронки для дрели, набор коронок универсальный, коронки для отверстий, комплект коронок, коронки строительные, коронки инструмент";"набір коронок, коронки свердлильні, набір коронок по дереву, коронки по металу, коронки для дриля, набір коронок універсальний, коронки для отворів, комплект коронок, коронки будівельні, коронки інструмент";набор коронок;набір коронок;"Виробник, Тип устройства"
270;420503;https://prom.ua/ua/Gvoizdi;Цвяхи;"гвозди, гвозди строительные, гвозди для дерева, гвозди металлические, гвозди для ремонта, гвозди универсальные, гвозди крепеж, гвозди для стройки, гвозди упаковка, гвозди инструмент";"цвяхи, цвяхи будівельні, цвяхи для дерева, цвяхи металеві, цвяхи для ремонту, цвяхи універсальні, цвяхи кріплення, цвяхи для будівництва, цвяхи упаковка, цвяхи інструмент";гвозди;цвяхи;"Виробник, Тип устройства"
271;14201509;https://prom.ua/ua/Diski-pilnye-po-derevu;Диск для торцювальної пили;"диск для торцовочной пилы, пильный диск торцовка, диск по дереву торцовка, диск для пилы, диск циркулярный, диск для резки дерева, диск пильный точный, диск для станка, диск для торцовки, диск дерево резка";"диск для торцювальної пили, пильний диск торцювання, диск по дереву торцювання, диск для пили, диск циркулярний, диск для різання дерева, диск пильний точний, диск для верстата, диск для торцювання, диск дерево різання";диск для торцовочной пилы;диск для торцювальної пили;"Виробник, Тип устройства"
272;14201607;https://prom.ua/ua/Sverla;Бури по бетону;"бур по бетону, буры sds plus, бур для перфоратора, бур по бетону sds max, бур для сверления бетона, бур строительный, бур для перфоратора бетон, бур усиленный, бур для камня, бур профессиональный";"бур по бетону, бури sds plus, бур для перфоратора, бур по бетону sds max, бур для свердління бетону, бур будівельний, бур для перфоратора бетон, бур посилений, бур для каменю, бур професійний";бур по бетону;бур по бетону;"Виробник, Тип устройства"
