№;Ідентифікатор_підрозділу;Посилання_підрозділу;Тип устройства;universal_phrases_ru;universal_phrases_ua;base_keyword_ru;base_keyword_ua;allowed_specs
122;1250355;https://prom.ua/Nabory-sadovyh-instrumentov;Лопати та вила;"лопата садовая, вилы садовые, лопата для земли, вилы для сада, инструмент для копки, лопата штыковая, вилы для грунта, лопата садовая прочная";"лопата садова, вила садові, лопата для землі, вила для саду, інструмент для копання, лопата штикова, вила для ґрунту, лопата садова міцна";лопата;лопата;"Виробник, Тип устройства"
123;1250355;https://prom.ua/Nabory-sadovyh-instrumentov;Граблі та сапки;"грабли садовые, сапка садовая, инструмент для рыхления, грабли для травы, сапка для огорода, инструмент садовый грабли, грабли металлические, сапка ручная";"граблі садові, сапка садова, інструмент для розпушування, граблі для трави, сапка для городу, інструмент садовий граблі, граблі металеві, сапка ручна";грабли;граблі;"Виробник, Тип устройства"
124;1250355;https://prom.ua/Nabory-sadovyh-instrumentov;Сокири та секачі;"топор колун, секач для дров, топор туристический, топор для рубки, колун для дерева, инструмент для рубки, топор строительный, секач ручной";"сокира колун, сікач для дров, сокира туристична, сокира для рубки, колун для дерева, інструмент для рубки, сокира будівельна, сікач ручний";топор;сокира;"Виробник, Тип устройства"
125;1250355;https://prom.ua/Nabory-sadovyh-instrumentov;Посадковий інструмент;"инструмент посадочный, совок садовый, набор для посадки, инструмент для растений, посадка растений инструмент, садовый набор посадки, инструмент для рассады, совок металлический";"інструмент посадковий, совок садовий, набір для посадки, інструмент для рослин, посадка рослин інструмент, садовий набір посадки, інструмент для розсади, совок металевий";совок;совок;"Виробник, Тип устройства"
126;1250355;https://prom.ua/Nabory-sadovyh-instrumentov;Аксесуари для садових інструментів;"аксессуары садового инструмента, комплектующие садового инструмента, насадки для садового инструмента, ручки для инструмента, запчасти садового инструмента, принадлежности для сада, аксессуары для садовых работ, комплектующие для сада";"аксесуари садового інструменту, комплектуючі садового інструменту, насадки для садового інструменту, ручки для інструменту, запчастини садового інструменту, приладдя для саду, аксесуари для садових робіт, комплектуючі для саду";аксессуары садовые;аксесуари садові;"Виробник, Тип устройства"
127;1250355;https://prom.ua/Nabory-sadovyh-instrumentov;Прибирання снігу та льоду;"инструмент для уборки снега, лопата для снега, скребок для льда, инвентарь зимний, инструмент для льда, лопата снеговая, очистка снега инструмент, скребок ледяной";"інструмент для прибирання снігу, лопата для снігу, скребок для льоду, інвентар зимовий, інструмент для льоду, лопата снігова, очищення снігу інструмент, скребок льодовий";лопата для снега;лопата для снігу;"Виробник, Тип устройства"
128;513;https://prom.ua/Udliniteli-elektricheskie;Подовжувач;"удлинитель электрический, кабель удлинитель, удлинитель с розетками, удлинитель для дома, удлинитель силовой, удлинитель на катушке, кабель удлинитель длинный, удлинитель для техники";"подовжувач електричний, кабель подовжувач, подовжувач з розетками, подовжувач для дому, подовжувач силовий, подовжувач на котушці, кабель подовжувач довгий, подовжувач для техніки";удлинитель;подовжувач;"Виробник, Тип устройства"
129;513;https://prom.ua/Udliniteli-elektricheskie;Вилка;"вилка электрическая, штекер питания, вилка для кабеля, электрическая вилка разъем, штекер сетевой, вилка 220в, вилка для провода, разъем вилка";"вилка електрична, штекер живлення, вилка для кабелю, електрична вилка роз'єм, штекер мережевий, вилка 220в, вилка для проводу, роз'єм вилка";вилка;вилка;"Виробник, Тип устройства"
130;513;https://prom.ua/Udliniteli-elektricheskie;Розетка;"розетка электрическая, розетка настенная, розетка силовая, розетка для дома, розетка с заземлением, розетка двойная, розетка встроенная, розетка электрическая бытовая";"розетка електрична, розетка настінна, розетка силова, розетка для дому, розетка із заземленням, розетка подвійна, розетка вбудована, розетка електрична побутова";розетка;розетка;"Виробник, Тип устройства"
131;513;https://prom.ua/Udliniteli-elektricheskie;Адаптер;"адаптер электрический, переходник розетки, адаптер питания, переходник сетевой, адаптер универсальный, адаптер для розетки, переходник вилки, адаптер для техники";"адаптер електричний, перехідник розетки, адаптер живлення, перехідник мережевий, адаптер універсальний, адаптер для розетки, перехідник вилки, адаптер для техніки";адаптер;адаптер;"Виробник, Тип устройства"
132;150426;https://prom.ua/Led-osveschenie;Освещение;"освещение led, светильник светодиодный, лампа освещения, освещение для дома, светильник потолочный, освещение уличное, лампа led, светильник настенный";"освітлення led, світильник світлодіодний, лампа освітлення, освітлення для дому, світильник стельовий, освітлення вуличне, лампа led, світильник настінний";освещение;освітлення;Виробник
133;301906;https://prom.ua/Drugie-sredstva-individualnoj-zaschity;Средства индивидуальной защиты;"средства индивидуальной защиты, защитное снаряжение, средства защиты, защитная экипировка, защита для работы, средства защиты труда, защитное оборудование, средства безопасности";"засоби індивідуального захисту, захисне спорядження, засоби захисту, захисне екіпірування, захист для роботи, засоби захисту праці, захисне обладнання, засоби безпеки";средства защиты;засоби захисту;Виробник
134;82210;https://prom.ua/Germetiki;"Пины, герметики, аэрозоли";"герметик силиконовый, герметик строительный, клей герметик, аэрозоль технический, спрей герметик, герметик для швов, монтажный герметик, аэрозоль смазка";"герметик силіконовий, герметик будівельний, клей герметик, аерозоль технічний, спрей герметик, герметик для швів, монтажний герметик, аерозоль мастило";герметик;герметик;Виробник
135;62601;https://prom.ua/Obogrevateli-infrakrasnye;Обогреватели;"обогреватель электрический, инфракрасный обогреватель, обогреватель для дома, тепловентилятор, обогреватель настенный, обогреватель переносной, обогреватель комнатный, отопительный прибор";"обігрівач електричний, інфрачервоний обігрівач, обігрівач для дому, тепловентилятор, обігрівач настінний, обігрівач переносний, обігрівач кімнатний, опалювальний прилад";обогреватель;обігрівач;Виробник
136;5093502;https://prom.ua/Instrument-dlya-setevyh-rabot-obschee;Инструмент для работы с кабелем;"инструмент для кабеля, инструмент обжима, инструмент для витой пары, кримпер rj45, инструмент для монтажа кабеля, инструмент для сетей, обжимной инструмент, инструмент электрика";"інструмент для кабелю, інструмент обжиму, інструмент для крученої пари, кримпер rj45, інструмент для монтажу кабелю, інструмент для мереж, обжимний інструмент, інструмент електрика";кримпер;кримпер;Виробник
137;15370399;https://prom.ua/Drugie-elektroizmeritelnye-pribory;Приборы для настройки;"прибор настройки, тестер кабеля, измерительный прибор сети, тестер сети, прибор для настройки оборудования, тестер rj45, анализатор сети, прибор диагностики";"прилад налаштування, тестер кабелю, вимірювальний прилад мережі, тестер мережі, прилад для налаштування обладнання, тестер rj45, аналізатор мережі, прилад діагностики";тестер сети;тестер мережі;Виробник
138;4201;https://prom.ua/Kronshtejny;Кронштейны для телевизоров и мониторов;"кронштейн для телевизора, крепление для монитора, настенный кронштейн, держатель телевизора, кронштейн vesa, крепление для экрана, кронштейн поворотный, кронштейн наклонный";"кронштейн для телевізора, кріплення для монітора, настінний кронштейн, тримач телевізора, кронштейн vesa, кріплення для екрана, кронштейн поворотний, кронштейн нахильний";кронштейн;кронштейн;Виробник
139;6371818;https://prom.ua/Gromkogovoriteli;Системы озвучивания и оповещения;"система озвучивания, система оповещения, акустическая система, громкоговоритель система, система звука, оборудование оповещения, система громкой связи, звуковая система";"система озвучення, система оповіщення, акустична система, гучномовець система, система звуку, обладнання оповіщення, система гучного зв'язку, звукова система";система озвучивания;система озвучення;Виробник
140;300501;https://prom.ua/Bronezhilety;Бронеплиты;"бронеплита, плита бронежилета, защитная плита, бронеплита керамическая, бронеплита баллистическая, плита защиты тела, бронеплита уровень защиты, плита бронежилета вставка";"бронеплита, плита бронежилета, захисна плита, бронеплита керамічна, бронеплита балістична, плита захисту тіла, бронеплита рівень захисту, плита бронежилета вставка";бронеплита;бронеплита;Виробник
141;3082002;https://prom.ua/Razgruzochnye-zhilety;Плитоноски;"плитоноска бронежилет, плитоноска тактическая, жилет под бронеплиты, разгрузочный жилет плитоноска, плитоноска военная, жилет защитный, плитоноска с карманами, плитоноска для защиты";"плитоноска бронежилет, плитоноска тактична, жилет під бронеплити, розвантажувальний жилет плитоноска, плитоноска військова, жилет захисний, плитоноска з кишенями, плитоноска для захисту";плитоноска;плитоноска;Виробник
142;152401;https://prom.ua/Armejskie-spetssumki-i-ryukzaki;Снаряжение;"тактическое снаряжение, военное снаряжение, экипировка тактическая, снаряжение для армии, аксессуары военные, экипировка для защиты, снаряжение для тактики, комплект снаряжения";"тактичне спорядження, військове спорядження, екіпірування тактичне, спорядження для армії, аксесуари військові, екіпірування для захисту, спорядження для тактики, комплект спорядження";снаряжение;спорядження;Виробник
143;300503;https://prom.ua/Shlemy-broneshlemy-i-kaski;Шлемы и аксессуары;"шлем защитный, каска тактическая, шлем военный, каска строительная, шлем безопасности, шлем защитный аксессуары, каска защитная, шлем экипировки";"шолом захисний, каска тактична, шолом військовий, каска будівельна, шолом безпеки, шолом захисний аксесуари, каска захисна, шолом екіпірування";шлем;шолом;Виробник
144;150410;https://prom.ua/Fonariki-;Фонари;"фонарь светодиодный, фонарик ручной, фонарь аккумуляторный, фонарь налобный, фонарь мощный, фонарь тактический, фонарь для дома, фонарь переносной";"ліхтар світлодіодний, ліхтарик ручний, ліхтар акумуляторний, ліхтар налобний, ліхтар потужний, ліхтар тактичний, ліхтар для дому, ліхтар переносний";фонарь;ліхтар;Виробник
145;14200394;https://prom.ua/Multituly;"Мультитулы, ножи";"мультитул нож, мультитул инструмент, нож складной, нож туристический, мультитул карманный, нож многофункциональный, мультитул для выживания, нож инструмент";"мультитул ніж, мультитул інструмент, ніж складаний, ніж туристичний, мультитул кишеньковий, ніж багатофункціональний, мультитул для виживання, ніж інструмент";мультитул;мультитул;Виробник
146;63309;https://prom.ua/Melkaya-bytovaya-tehnika-dlya-lichnogo-polzovaniya-obschee;Обустройство быта;"товары для быта, обустройство дома, товары для дома, бытовые товары, товары для комфорта, аксессуары для дома, товары повседневные, бытовая продукция";"товари для побуту, облаштування дому, товари для дому, побутові товари, товари для комфорту, аксесуари для дому, товари повсякденні, побутова продукція";товары для быта;товари для побуту;Виробник
147;50505;https://prom.ua/Metallodetektory;Металодетекторы;"металлоискатель, детектор металла, металлодетектор ручной, металлоискатель грунтовый, детектор металла портативный, металлоискатель для поиска, металлодетектор профессиональный, детектор металла прибор";"металошукач, детектор металу, металодетектор ручний, металошукач ґрунтовий, детектор металу портативний, металошукач для пошуку, металодетектор професійний, детектор металу прилад";металлоискатель;металошукач;Виробник
148;13240415;https://prom.ua/Bytovye-filtry-kompleksnoj-ochistki-vody;Очистители воды;"очиститель воды, фильтр для воды, система очистки воды, фильтр питьевой воды, фильтр под мойку, очистка воды бытовая, фильтр воды система, очиститель воды домашний";"очищувач води, фільтр для води, система очищення води, фільтр питної води, фільтр під мийку, очищення води побутове, фільтр води система, очищувач води домашній";очиститель воды;очищувач води;Виробник
